,Data_Source,Camera_Count,geometry,x,y
3032,Amnesty,3,POINT (-73.99729534185467 40.5985141341186),-73.99729534185467,40.5985141341186
3033,Amnesty,1,POINT (-73.92145696143456 40.69851335769426),-73.92145696143456,40.69851335769426
3034,Amnesty,2,POINT (-73.98356182784734 40.68475798333473),-73.98356182784734,40.68475798333473
3035,Amnesty,1,POINT (-73.9953683781069 40.60384584542367),-73.9953683781069,40.60384584542367
3036,Amnesty,1,POINT (-73.96619028558845 40.59456396663336),-73.96619028558845,40.59456396663336
3037,Amnesty,2,POINT (-73.93708209821375 40.69301718999387),-73.93708209821375,40.69301718999387
3038,Amnesty,1,POINT (-73.95984233803355 40.58117289411204),-73.95984233803355,40.58117289411204
3039,Amnesty,1,POINT (-73.89911658820168 40.677219925099266),-73.89911658820168,40.677219925099266
3040,Amnesty,1,POINT (-73.9163206054842 40.702503297283116),-73.9163206054842,40.702503297283116
3041,Amnesty,4,POINT (-73.9157628184319 40.676676044636615),-73.9157628184319,40.676676044636615
3042,Amnesty,2,POINT (-73.9065773123675 40.69693076788283),-73.9065773123675,40.69693076788283
3043,Amnesty,2,POINT (-73.95965671639078 40.65485791259261),-73.95965671639078,40.65485791259261
3044,Amnesty,1,POINT (-73.94537253154083 40.57772611705745),-73.94537253154083,40.57772611705745
3045,Amnesty,1,POINT (-73.90943059435082 40.67298641566638),-73.90943059435082,40.67298641566638
3046,Amnesty,3,POINT (-73.95401846874263 40.61352009455506),-73.95401846874263,40.61352009455506
3047,Amnesty,1,POINT (-74.01975011688103 40.63611810312736),-74.01975011688103,40.63611810312736
3048,Amnesty,5,POINT (-73.93585849505085 40.72369375874338),-73.93585849505085,40.72369375874338
3049,Amnesty,1,POINT (-73.94733160076856 40.649058889842095),-73.94733160076856,40.649058889842095
3050,Amnesty,1,POINT (-74.01795881344484 40.64151840109334),-74.01795881344484,40.64151840109334
3051,Amnesty,1,POINT (-73.89677939849864 40.63211702179056),-73.89677939849864,40.63211702179056
3052,Amnesty,1,POINT (-74.0048744249744 40.63999341556607),-74.0048744249744,40.63999341556607
3053,Amnesty,1,POINT (-73.90823460008468 40.66738656787323),-73.90823460008468,40.66738656787323
3054,Amnesty,5,POINT (-73.89120335548073 40.65813312189037),-73.89120335548073,40.65813312189037
3055,Amnesty,1,POINT (-74.0059534376295 40.68336001681961),-74.0059534376295,40.68336001681961
3056,Amnesty,1,POINT (-73.93989726070066 40.691932972584794),-73.93989726070066,40.691932972584794
3057,Amnesty,2,POINT (-73.98212712985091 40.69124961763823),-73.98212712985091,40.69124961763823
3058,Amnesty,2,POINT (-74.02351903950994 40.634631562902406),-74.02351903950994,40.634631562902406
3059,Amnesty,1,POINT (-73.92846737170322 40.63284671473666),-73.92846737170322,40.63284671473666
3060,Amnesty,1,POINT (-73.91072194055138 40.70106944557893),-73.91072194055138,40.70106944557893
3061,Amnesty,1,POINT (-73.9394003542181 40.71975168331052),-73.9394003542181,40.71975168331052
3062,Amnesty,1,POINT (-74.00116329999999 40.6030721),-74.00116329999999,40.6030721
3063,Amnesty,7,POINT (-73.90170279174272 40.64810866414631),-73.90170279174272,40.64810866414631
3064,Amnesty,1,POINT (-73.91939737604874 40.66228022623553),-73.91939737604874,40.66228022623553
3065,Amnesty,1,POINT (-73.93500438053313 40.68276441359576),-73.93500438053313,40.68276441359576
3066,Amnesty,5,POINT (-73.95750432710085 40.711657513860494),-73.95750432710085,40.711657513860494
3067,Amnesty,1,POINT (-73.96154526821005 40.67119293844649),-73.96154526821005,40.67119293844649
3068,Amnesty,1,POINT (-74.00445497666418 40.67956569908001),-74.00445497666418,40.67956569908001
3069,Amnesty,1,POINT (-74.03624749757577 40.617875093613186),-74.03624749757577,40.617875093613186
3070,Amnesty,2,POINT (-73.98050114377428 40.67643703225065),-73.98050114377428,40.67643703225065
3071,Amnesty,1,POINT (-74.01958914370948 40.64250864400116),-74.01958914370948,40.64250864400116
3072,Amnesty,1,POINT (-74.01889747729139 40.631458267258125),-74.01889747729139,40.631458267258125
