,Name,Latitude,Longitude,Zip_Code,Borough,geometry_layer,wkt
111,72.80.201.105 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
112,72.80.201.109 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
113,72.80.201.201 ,40.64712143,-74.08818054,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08818054 40.64712143 0)
114,72.89.102.111 ,40.629879,-74.10025787,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10025787 40.629879 0)
115,72.89.102.159 ,40.62125015,-74.09773254,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09773254 40.62125015 0)
116,72.89.102.23 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
117,72.89.118.253 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
118,72.89.118.35 ,40.63431168,-74.09552002,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09552002 40.63431168 0)
119,72.89.137.193 ,40.61952972,-74.09242249,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09242249 40.61952972 0)
120,72.89.251.22 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
121,74.101.145.228 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
122,74.101.145.33 ,40.64176941,-74.08010101,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08010101 40.64176941 0)
123,74.101.42.227 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
124,74.101.42.6 ,40.63404083,-74.07663727,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07663727 40.63404083 0)
125,74.108.121.217 ,40.64149857,-74.08174133,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08174133 40.64149857 0)
126,74.108.98.243 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
127,96.232.114.66 ,40.64540863,-74.08085632,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08085632 40.64540863 0)
128,96.232.125.47 ,40.63806152,-74.09213257,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09213257 40.63806152 0)
129,96.232.125.49 ,40.64789963,-74.08596039,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08596039 40.64789963 0)
130,96.232.125.95 ,40.63965988,-74.09777832,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09777832 40.63965988 0)
131,96.239.115.131 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
132,96.239.115.157 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
133,96.239.115.161 ,40.63827896,-74.08870697,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08870697 40.63827896 0)
134,96.239.115.75 ,40.63996887,-74.07569122,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07569122 40.63996887 0)
135,96.239.122.158 ,40.63904953,-74.08325195,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08325195 40.63904953 0)
136,96.239.122.213 ,40.62842178,-74.09024048,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09024048 40.62842178 0)
137,96.239.122.67 ,40.629879,-74.10025787,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10025787 40.629879 0)
138,96.250.161.190 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
139,96.250.201.115 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
140,96.250.201.212 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
141,96.250.201.90 ,40.63933945,-74.08612823,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08612823 40.63933945 0)
142,96.250.217.61 ,40.64527893,-74.08889008,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08889008 40.64527893 0)
143,96.250.218.67 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
144,98.113.73.135 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
145,98.113.73.212 ,40.64178848,-74.09871674,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09871674 40.64178848 0)
146,98.113.73.234 ,40.60726166,-74.10281372,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10281372 40.60726166 0)
147,98.116.151.47 ,40.63003159,-74.10408783,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10408783 40.63003159 0)
148,98.116.52.251 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
149,98.116.52.66 ,40.61952972,-74.09242249,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09242249 40.61952972 0)
150,98.116.52.81 ,40.63069153,-74.08849335,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08849335 40.63069153 0)
151,98.116.77.171 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
152,98.116.77.45 ,40.64437866,-74.08364868,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08364868 40.64437866 0)
153,100.38.207.46 ,40.63153839,-74.1443634,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.1443634 40.63153839 0)
154,141.155.184.243 ,40.62707138,-74.14235687,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.14235687 40.62707138 0)
155,141.155.189.160 ,40.62080002,-74.14589691,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.14589691 40.62080002 0)
156,141.155.9.47 ,40.63011169,-74.13506317,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.13506317 40.63011169 0)
157,151.205.101.57 ,40.63874817,-74.12892914,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.12892914 40.63874817 0)
158,151.205.188.31 ,40.63645172,-74.13098907,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.13098907 40.63645172 0)
159,68.237.200.137 ,40.62968826,-74.14412689,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.14412689 40.62968826 0)
160,68.237.86.159 ,40.63932037,-74.13774872,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.13774872 40.63932037 0)
161,71.167.93.114 ,40.63011169,-74.13506317,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.13506317 40.63011169 0)
162,71.251.22.23 ,40.62926102,-74.13790131,10302.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.13790131 40.62926102 0)
